@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-01 00:00,-9999
,2015-07-01 01:00,-9999
,2015-07-01 02:00,-9999
,2015-07-01 03:00,11.37
,2015-07-01 04:00,5.815
,2015-07-01 05:00,5.805
,2015-07-01 06:00,-0.3027975247
,2015-07-01 07:00,-0.575
,2015-07-01 08:00,0.6113523769
,2015-07-01 09:00,14.452093807
,2015-07-01 10:00,56.9044309915
,2015-07-01 11:00,142.3749647868
,2015-07-01 12:00,235.63
,2015-07-01 13:00,286.485
,2015-07-01 14:00,303.4273320386
,2015-07-01 15:00,343.21
,2015-07-01 16:00,322.46
,2015-07-01 17:00,338.8
,2015-07-01 18:00,295.605
,2015-07-01 19:00,197.96
,2015-07-01 20:00,100.52
,2015-07-01 21:00,42.855
,2015-07-01 22:00,17.3906613345
,2015-07-01 23:00,8.7952533696
