@T,table,
@H,timestamp,val_1
val,  ,1
,2015-07-21 00:00,-9999
,2015-07-21 01:00,-9999
,2015-07-21 02:00,-9999
,2015-07-21 03:00,-17.4
,2015-07-21 04:00,-19.4894479537
,2015-07-21 05:00,-17.65
,2015-07-21 06:00,-21.2667682059
,2015-07-21 07:00,-21.945
,2015-07-21 08:00,-6.2133182442
,2015-07-21 09:00,1.9275414108
,2015-07-21 10:00,24.8395124622
,2015-07-21 11:00,64.1854692253
,2015-07-21 12:00,76.77
,2015-07-21 13:00,77.94
,2015-07-21 14:00,77.5406755336
,2015-07-21 15:00,73.455
,2015-07-21 16:00,65.595
,2015-07-21 17:00,48.1
,2015-07-21 18:00,28.72
,2015-07-21 19:00,10.95
,2015-07-21 20:00,-0.095
,2015-07-21 21:00,-14.9059005609
,2015-07-21 22:00,-34.3577735285
,2015-07-21 23:00,-35.2391284461
