@T,table,
@H,timestamp,value_4
val,  ,4
,2011-01-01 00:00,-39.23
,2011-01-01 00:30,3.57
,2011-01-01 01:00,2.63
,2011-01-01 01:30,2.98
,2011-01-01 02:00,3.08
,2011-01-01 02:30,2.98
,2011-01-01 03:00,3.11
,2011-01-01 03:30,3.16
,2011-01-01 04:00,2.98
,2011-01-01 04:30,2.69
,2011-01-01 05:00,3.71
,2011-01-01 05:30,3.43
,2011-01-01 06:00,2.65
,2011-01-01 06:30,3.91
,2011-01-01 07:00,3.14
,2011-01-01 07:30,3.22
,2011-01-01 08:00,2.88
,2011-01-01 08:30,3.17
,2011-01-01 09:00,3.63
,2011-01-01 09:30,2.42
,2011-01-01 10:00,4.57
,2011-01-01 10:30,3.43
,2011-01-01 11:00,3.28
,2011-01-01 11:30,3.82
,2011-01-01 12:00,3.37
,2011-01-01 12:30,3.1
,2011-01-01 13:00,3.95
,2011-01-01 13:30,3.35
,2011-01-01 14:00,3.6
,2011-01-01 14:30,3.13
,2011-01-01 15:00,4.03
,2011-01-01 15:30,3.57
,2011-01-01 16:00,3.42
,2011-01-01 16:30,3.53
,2011-01-01 17:00,3.73
,2011-01-01 17:30,2.41
,2011-01-01 18:00,4.15
,2011-01-01 18:30,3.88
,2011-01-01 19:00,2.93
,2011-01-01 19:30,3.85
,2011-01-01 20:00,3.39
,2011-01-01 20:30,3.68
,2011-01-01 21:00,3.48
,2011-01-01 21:30,3.38
,2011-01-01 22:00,4.36
,2011-01-01 22:30,2.89
,2011-01-01 23:00,3.25
,2011-01-01 23:30,3.47

