@T,table,
@H,timestamp,value_4
val,  ,4
,2011-01-01 00:00,60.94
,2011-01-01 00:30,59.77
,2011-01-01 01:00,65.25
,2011-01-01 01:30,65.06
,2011-01-01 02:00,62.15
,2011-01-01 02:30,59.45
,2011-01-01 03:00,59.45
,2011-01-01 03:30,60.34
,2011-01-01 04:00,61.92
,2011-01-01 04:30,62.58
,2011-01-01 05:00,63.75
,2011-01-01 05:30,62.3
,2011-01-01 06:00,63.02
,2011-01-01 06:30,60.34
,2011-01-01 07:00,59.16
,2011-01-01 07:30,62.57
,2011-01-01 08:00,58.06
,2011-01-01 08:30,65.55
,2011-01-01 09:00,61.81
,2011-01-01 09:30,55.87
,2011-01-01 10:00,51.45
,2011-01-01 10:30,48.11
,2011-01-01 11:00,44.26
,2011-01-01 11:30,43.87
,2011-01-01 12:00,40.77
,2011-01-01 12:30,40.74
,2011-01-01 13:00,43.88
,2011-01-01 13:30,53.52
,2011-01-01 14:00,57.28
,2011-01-01 14:30,58.75
,2011-01-01 15:00,56.13
,2011-01-01 15:30,62.36
,2011-01-01 16:00,57.92
,2011-01-01 16:30,53.82
,2011-01-01 17:00,57.02
,2011-01-01 17:30,56.67
,2011-01-01 18:00,56.18
,2011-01-01 18:30,57.15
,2011-01-01 19:00,55.38
,2011-01-01 19:30,54.18
,2011-01-01 20:00,50.91
,2011-01-01 20:30,52.35
,2011-01-01 21:00,52.36
,2011-01-01 21:30,50.8
,2011-01-01 22:00,49.93
,2011-01-01 22:30,51.57
,2011-01-01 23:00,51.73
,2011-01-01 23:30,47.64

