@T,table,
@H,timestamp,value_4
val,  ,4
,2011-01-01 00:00,52.9
,2011-01-01 00:30,52.9
,2011-01-01 01:00,52.9
,2011-01-01 01:30,52.9
,2011-01-01 02:00,52.9
,2011-01-01 02:30,52.9
,2011-01-01 03:00,52.9
,2011-01-01 03:30,52.9
,2011-01-01 04:00,52.9
,2011-01-01 04:30,52.85
,2011-01-01 05:00,52.85
,2011-01-01 05:30,52.85
,2011-01-01 06:00,52.85
,2011-01-01 06:30,52.85
,2011-01-01 07:00,52.85
,2011-01-01 07:30,52.85
,2011-01-01 08:00,52.85
,2011-01-01 08:30,52.85
,2011-01-01 09:00,52.85
,2011-01-01 09:30,52.85
,2011-01-01 10:00,52.85
,2011-01-01 10:30,52.8
,2011-01-01 11:00,52.8
,2011-01-01 11:30,52.8
,2011-01-01 12:00,52.8
,2011-01-01 12:30,52.8
,2011-01-01 13:00,52.8
,2011-01-01 13:30,52.8
,2011-01-01 14:00,52.8
,2011-01-01 14:30,52.8
,2011-01-01 15:00,52.8
,2011-01-01 15:30,52.8
,2011-01-01 16:00,52.8
,2011-01-01 16:30,52.8
,2011-01-01 17:00,52.8
,2011-01-01 17:30,52.8
,2011-01-01 18:00,52.8
,2011-01-01 18:30,52.75
,2011-01-01 19:00,52.75
,2011-01-01 19:30,52.75
,2011-01-01 20:00,52.75
,2011-01-01 20:30,52.7
,2011-01-01 21:00,52.7
,2011-01-01 21:30,52.7
,2011-01-01 22:00,52.7
,2011-01-01 22:30,52.7
,2011-01-01 23:00,52.7
,2011-01-01 23:30,52.7

