@T,table
Created,2019-02-27 16:28
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,3.6696185080748616
,2015-07-21 01:00,3.451423931385804
,2015-07-21 02:00,3.4597456657606833
,2015-07-21 03:00,3.450013185506126
,2015-07-21 04:00,3.6491505733442464
,2015-07-21 05:00,11.343288477664764
,2015-07-21 06:00,22.17930265601084
,2015-07-21 07:00,133.0025762781203
,2015-07-21 08:00,242.6032037459303
,2015-07-21 09:00,313.4917795727086
,2015-07-21 10:00,370.1003659115586
,2015-07-21 11:00,402.73700511596553
,2015-07-21 12:00,419.7334674153047
,2015-07-21 13:00,406.16103062597966
,2015-07-21 14:00,369.99535058158904
,2015-07-21 15:00,320.1644532250273
,2015-07-21 16:00,256.3926131650681
,2015-07-21 17:00,178.19641157600765
,2015-07-21 18:00,97.99481216284994
,2015-07-21 19:00,21.818890773889585
,2015-07-21 20:00,-6.819238892568797
,2015-07-21 21:00,-4.863123010032353
,2015-07-21 22:00,-2.0925850937939257
,2015-07-21 23:00,-0.6606816389549196

