@T,table
Created,2019-02-27 16:28
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,288.53952335338255
,2015-07-21 01:00,288.5392354389983
,2015-07-21 02:00,288.141919995321
,2015-07-21 03:00,287.9320833845071
,2015-07-21 04:00,287.4280316119335
,2015-07-21 05:00,287.6403843377096
,2015-07-21 06:00,288.3836254669255
,2015-07-21 07:00,294.6114170626097
,2015-07-21 08:00,301.7161553699355
,2015-07-21 09:00,306.04887921502984
,2015-07-21 10:00,309.1416846150825
,2015-07-21 11:00,311.42017620849754
,2015-07-21 12:00,312.3443561787656
,2015-07-21 13:00,312.1137971085503
,2015-07-21 14:00,310.64573213728823
,2015-07-21 15:00,308.8044337202049
,2015-07-21 16:00,306.5249064675197
,2015-07-21 17:00,303.35175960583064
,2015-07-21 18:00,299.7590951780425
,2015-07-21 19:00,295.45765469069863
,2015-07-21 20:00,292.3046940455332
,2015-07-21 21:00,291.47722686536804
,2015-07-21 22:00,291.1867757463611
,2015-07-21 23:00,290.94595067349024

