@T,table
Created,2019-02-27 16:25
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,0.0038697502662332498
,2015-07-21 01:00,0.005428274425440319
,2015-07-21 02:00,0.005803610701725837
,2015-07-21 03:00,0.0038722745687703995
,2015-07-21 04:00,0.001242016754617375
,2015-07-21 05:00,0.0
,2015-07-21 06:00,0.0
,2015-07-21 07:00,0.0
,2015-07-21 08:00,0.0
,2015-07-21 09:00,0.09177310707223468
,2015-07-21 10:00,0.18814701302378636
,2015-07-21 11:00,0.25463906758419586
,2015-07-21 12:00,0.306621875938213
,2015-07-21 13:00,0.3398741354084389
,2015-07-21 14:00,0.35822136533568144
,2015-07-21 15:00,0.3430548436154124
,2015-07-21 16:00,0.3011448258364106
,2015-07-21 17:00,0.2434308757133345
,2015-07-21 18:00,0.17833420368177813
,2015-07-21 19:00,0.10800705765869671
,2015-07-21 20:00,0.043345588272104295
,2015-07-21 21:00,0.0
,2015-07-21 22:00,0.0
,2015-07-21 23:00,0.0

