@T,table
Created,2019-02-27 16:23
Author,HortonMachine library
@H,timestamp,value_1
ID,,1
Type,Date,Double
Format,yyyy-MM-dd HH:mm,
,2015-07-21 00:00,0.0
,2015-07-21 01:00,0.0
,2015-07-21 02:00,0.0
,2015-07-21 03:00,0.0
,2015-07-21 04:00,0.0
,2015-07-21 05:00,0.39373862488805333
,2015-07-21 06:00,1.2751787485902066
,2015-07-21 07:00,23.46801623225159
,2015-07-21 08:00,47.56952102253243
,2015-07-21 09:00,55.883323098527946
,2015-07-21 10:00,55.25238973715359
,2015-07-21 11:00,40.52150286069671
,2015-07-21 12:00,23.835075026629887
,2015-07-21 13:00,28.933287340765727
,2015-07-21 14:00,48.80469983621542
,2015-07-21 15:00,60.98563543553964
,2015-07-21 16:00,56.5650757696984
,2015-07-21 17:00,34.14138936564438
,2015-07-21 18:00,12.737091961330567
,2015-07-21 19:00,2.39378769728993
,2015-07-21 20:00,0.03076630328449884
,2015-07-21 21:00,0.0
,2015-07-21 22:00,0.0
,2015-07-21 23:00,0.0

